name,cover,price,author,publisher,isbn,publish_date,page,path
图腾分析路径下中国五帝文明研究,https://img.dushu.com/2020/11/13/11155768991808.jpg_200.jpg,¥108.00,,,9787520352918,2019-12-01,347,图腾分析路径下中国五帝文明研究.jpg
河北传媒发展报告（2020）,https://img.dushu.com/2020/11/13/11215052655564.jpg_200.jpg,¥128.00,,,9787520164788,2020-06-01,360,河北传媒发展报告（2020）.jpg
天空历险记（共4册）,https://img.dushu.com/2020/11/13/1121525164746.jpg_200.jpg,¥196.00,,,9787548940616,2020-06-01,,天空历险记（共4册）.jpg
消息写作原理,https://img.dushu.com/2020/11/13/11215152598095.jpg_200.jpg,¥68.00,,,9787549121229,2020-06-01,,消息写作原理.jpg
江苏法治蓝皮书：江苏法治发展报告No.7（2018-2019）,https://img.dushu.com/2020/11/13/11070681037941.jpg_200.jpg,¥138.00,,,9787520165068,2020-04-01,284,江苏法治蓝皮书：江苏法治发展报告No.7（2018-2019）.jpg
播音主持综合训练教程新编,https://img.dushu.com/2020/11/13/11215587739652.jpg_200.jpg,¥49.00,,,9787565726644,2020-06-01,,播音主持综合训练教程新编.jpg
2019年美国侵犯人权报告（汉西）,https://img.dushu.com/2020/11/13/11175165820871.jpg_200.jpg,¥30.00,,,9787508544298,2020-03-01,94,2019年美国侵犯人权报告（汉西）.jpg
会飞的青蛙,https://img.dushu.com/2020/11/13/11112788813559.jpg_200.jpg,¥42.80,,,9787545073645,2020-04-01,,会飞的青蛙.jpg
版权管理体制改革研究,https://img.dushu.com/2020/11/13/11215688765821.jpg_200.jpg,¥69.00,,,9787565727054,2020-06-01,,版权管理体制改革研究.jpg
冷空,https://img.dushu.com/2020/11/12/09493594391709.jpg_200.jpg,¥46.00,,,9787530678435,2019-12-01,220,冷空.jpg
2019年外文学术图书引证报告,https://img.dushu.com/2020/11/13/11220081161029.jpg_200.jpg,¥68.00,,,9787313228109,2020-06-01,,2019年外文学术图书引证报告.jpg
众声喧哗的下半场：新媒体时代公共舆论理性表达的话语建构,https://img.dushu.com/2020/11/13/11215469075525.jpg_200.jpg,¥35.00,,,9787517838166,2020-06-01,233,众声喧哗的下半场：新媒体时代公共舆论理性表达的话语建构.jpg
输配电线路高处作业装备应用指南,https://img.dushu.com/2020/11/13/11193124127665.jpg_200.jpg,¥26.00,,,9787519845926,2020-06-01,176,输配电线路高处作业装备应用指南.jpg
单小历2020-2021 新版 儿童卡片图书,https://img.dushu.com/2020/11/13/105549106873.jpg_200.jpg,¥168.00,,,9787559641113,2020-05-01,,单小历2020-2021 新版 儿童卡片图书.jpg
听歌放酒狂,https://img.dushu.com/2020/11/13/10553778997913.jpg_200.jpg,¥59.00,,,9787308200691,2020-05-01,300,听歌放酒狂.jpg
汪曾祺经典：耳目所接皆是水（精装双封面）,https://img.dushu.com/2020/11/13/1054336076549.jpg_200.jpg,¥39.80,,,9787544781619,2020-07-01,216,汪曾祺经典：耳目所接皆是水（精装双封面）.jpg
汪曾祺经典：水乡散淡且悠远（精装双封面）,https://img.dushu.com/2020/11/13/10543153746568.jpg_200.jpg,¥39.80,,,9787544781596,2020-07-01,256,汪曾祺经典：水乡散淡且悠远（精装双封面）.jpg
汪曾祺经典：万物静观皆有灵（精装双封面）,https://img.dushu.com/2020/11/13/1054325608618.jpg_200.jpg,¥42.80,,,9787544781589,2020-07-01,280,汪曾祺经典：万物静观皆有灵（精装双封面）.jpg
汪曾祺经典：师友故人忆念中（精装双封面）,https://img.dushu.com/2020/11/13/10543057959436.jpg_200.jpg,¥42.80,,,9787544781572,2020-07-01,252,汪曾祺经典：师友故人忆念中（精装双封面）.jpg
美丽中国经典线路2019,https://img.dushu.com/2020/10/27/09550018649272.jpg_200.jpg,¥58.00,,,9787503263507,2019-12-01,326,美丽中国经典线路2019.jpg
大学跨文化英语综合教程2学生用书（一书一码）,https://img.dushu.com/2020/11/13/10425987986257.jpg_200.jpg,¥49.00,,,9787544656115,2019-06-01,,大学跨文化英语综合教程2学生用书（一书一码）.jpg
澳大利亚法庭口译国家标准指南全国统一,https://img.dushu.com/2020/11/13/10425369945353.jpg_200.jpg,¥56.00,,,9787300280141,2020-04-01,270,澳大利亚法庭口译国家标准指南全国统一.jpg
华语阅读金字塔 7级 1.公共交通,https://img.dushu.com/2020/11/13/10361059158513.jpg_200.jpg,¥14.90,,,9787513819329,2020-01-01,21,华语阅读金字塔 7级 1.公共交通.jpg
你为什么没朋友,https://img.dushu.com/2020/10/29/10091655524069.jpg_200.jpg,¥18.00,,,9787513325462,2018-01-01,,你为什么没朋友.jpg
华语阅读金字塔 6级（套装）,https://img.dushu.com/2020/11/13/10361275645653.jpg_200.jpg,¥149.00,,,9787513819152,2020-01-01,,华语阅读金字塔 6级（套装）.jpg
注册电气工程师专业考试历年真题解析（发输变电专业 2020年版）,https://img.dushu.com/2020/11/13/10365981583667.jpg_200.jpg,¥260.00,,,9787519845735,2020-07-01,1152,注册电气工程师专业考试历年真题解析（发输变电专业 2020年版）.jpg
走遍中国（练习册 第一册 国内版）,https://img.dushu.com/2020/11/13/1036115861044.jpg_200.jpg,¥58.00,,,9787521314458,2020-01-01,111,走遍中国（练习册 第一册 国内版）.jpg
目标选择：阅读体验中的语言信息加工,https://img.dushu.com/2020/11/13/1037027565243.jpg_200.jpg,¥25.00,,,9787112245765,2020-06-01,,目标选择：阅读体验中的语言信息加工.jpg
大学跨文化英语综合教程2教师用书（一书一码）,https://a.dushu.com/img/n200.png,¥39.00,,,9787544656122,2019-06-01,,大学跨文化英语综合教程2教师用书（一书一码）.jpg
新材料,https://img.dushu.com/2020/11/12/09523761996877.jpg_200.jpg,¥48.00,,,9787534595158,2019-12-01,134,新材料.jpg
物联网,https://img.dushu.com/2020/11/12/09523642132750.jpg_200.jpg,¥48.00,,,9787571306588,2020-01-01,138,物联网.jpg
房地产审判实务研究,https://a.dushu.com/img/n200.png,¥58.00,,,9787517134459,2020-03-01,334,大学跨文化英语综合教程2教师用书（一书一码）.jpg
0.4kV电缆分支箱抽检工作规范,https://img.dushu.com/2020/11/12/09535833861771.jpg_200.jpg,¥20.00,,,9787519835590,2019-09-01,,0.4kV电缆分支箱抽检工作规范.jpg
